Sample_name,City,State,Latitude,Longitude,Collection_date,Sample_period,Temp_profile_metric
1St_01_Boonville,Boonville,Indiana,38.053,-87.289,8/9/12,Aug,-0.013295792
1St_02_Spencer,Spencer,Iowa,43.136,-95.132,8/27/12,Aug,-0.06368126
1St_03_Junction_City_East,Junction City East,Kansas,39.044,-96.819,8/10/12,Aug,-0.007018136
1St_04_Delano,Delano,Minnesota,45.052,-93.784,8/15/12,Aug,-0.111910848
1St_05_Monticello,Monticello,Minnesota,45.298,-93.775,8/15/12,Aug,-0.111910848
1St_06_St_Michael,Albertville,Minnesota,45.225,-93.661,8/22/12,Aug,-0.107287981
1St_07_Franklin,Franklin,Ohio,39.553,-84.319,8/16/12,Aug,-0.015129404
1St_08_Springboro,Springboro,Ohio,39.55,-84.24,8/9/12,Aug,-0.047557557
1St_09_Woodbran,Woodmere,Ohio,41.456,-81.475,8/22/12,Aug,-0.055661433
1St_10_Jones_Island,Milwaukee,Wisconsin,43.022,-87.9,8/22/12,Aug,-0.074545908
1St_100_Great_Falls,Great Falls,Montana,47.521,-111.299,1/16/13,Jan,-0.080754333
1St_101_Portland,Portland,Oregon,45.547,-122.458,1/16/13,Jan,0.004474898
1St_102_Vancouver_Marinepark,Vancouver,Washington,45.617,-122.626,1/15/13,Jan,-0.001263286
1St_103_Vancouver_Westside,Vancouver,Washington,45.636,-122.694,1/15/13,Jan,-0.001263286
1St_105_Moore,Moore,Oklahoma,35.298,-97.485,2/1/13,Jan,0.052021364
1St_106_Yukon,Yukon,Oklahoma,35.525,-97.752,1/17/13,Jan,0.056719136
1St_107_Burkburnett,Burkburnett,Texas,34.102,-98.562,1/15/13,Jan,0.069201921
1St_108_Freeport,Freeport,Texas,28.917,-95.378,1/16/13,Jan,0.099903695
1St_109_Kenedy,Kenedy,Texas,28.814,-97.849,1/24/13,Jan,0.132951295
1St_11_South_Shore,Oak Creek,Wisconsin,42.888,-87.846,8/21/12,Aug,-0.074545908
1St_111_Palmetto,Palmetto,Florida,27.526,-82.596,1/17/13,Jan,0.134108821
1St_112_Johns_Creek,Johns Creek,Georgia,33.977,-84.267,1/24/13,Jan,0.057941807
1St_113_Little_River,Johns Creek,Georgia,34.018,-84.227,2/1/13,Jan,0.062230254
1St_114_Hardinsburg,Hardinsburg,Kentucky,37.78,-86.469,1/30/13,Jan,-0.005199821
1St_115_Clintwood,Clintwood,Virginia,37.18,-82.431,1/23/13,Jan,-0.025474852
1St_116_Coeburn,Coeburn,Virginia,36.951,-82.467,1/30/13,Jan,-0.019083136
1St_117_Matewan,Matewan,West Virginia,37.621,-82.166,2/8/13,Jan,-0.009237976
1St_118_Williamson,Williamson,West Virginia,37.67,-82.275,2/8/13,Jan,-0.009237976
1St_119_Discovery_Bay,Discovery Bay,California,37.889,-121.584,1/31/13,Jan,0.039290752
1St_12_New_London,New London,Connecticut,41.343,-72.097,8/31/12,Aug,-0.040366642
1St_120_Richmond,Richmond,California,37.919,-122.378,1/30/13,Jan,0.035650235
1St_121_Stockton,Stockton,California,37.936,-121.328,1/15/13,Jan,0.048843064
1St_122_SantaBarbara_INF1,Santa Barbara,California,34.417,-119.686,1/9/13,Jan,0.039778098
1St_123_SantaBarbara_INF2,Santa Barbara,California,34.417,-119.686,1/9/13,Jan,0.039778098
1St_125_Bozeman,Bozeman,Montana,45.723,-111.069,1/24/13,Jan,-0.063835188
1St_126_Syracuse,Syracuse,New York,43.064,-76.178,1/15/13,Jan,-0.044135568
1St_127_Pendleton,Pendleton,Oregon,45.668,-118.837,1/16/13,Jan,-0.012017072
1St_128_Duncansville,Duncansville,Pennsylvania,40.456,-78.426,1/15/13,Jan,-0.051029846
1St_129_Memphis,Memphis,Tennessee ,35.188,-90.055,1/16/13,Jan,0.062773712
1St_13_Brockton,Brockton,Massachusetts,42.047,71.006,8/16/12,Aug,-0.076227975
1St_130_IowaCity,Iowa City,Iowa,41.611,-91.506,1/15/13,Jan,-0.030877804
1St_131_Burlington,Burlington,Vermont,44.472,-73.22,1/16/13,Jan,-0.080330676
1St_132_Lincoln,Lincoln,Nebraska,40.839,-96.688,1/23/13,Jan,-0.023600143
1St_133_Whittier,Whittier,California,34.034,-118.023,1/23/13,Jan,0.082875895
1St_134_Austin,Austin,Texas,30.279,-97.651,1/17/13,Jan,0.103300978
1St_135_Madison,Madison,Wisconsin,43.036,-89.357,1/27/13,Jan,-0.084931734
1St_136_Yuma,Yuma,Arizona,32.73,-114.664,1/16/13,Jan,0.156143983
