"Sample_name","flavo42_permL","HF183_permL","cloaci08_permL","Collection_date","Month","Year"
"APR13JI",864000,320571.5536,406800,"2013-04-09","April",2013
"APR14JI",379500,257122.7419,329400,"2014-04-14","April",2014
"APR15JI",1236000,615047.776,1383600,"2015-04-01","April",2015
"APR16JI",645000,630227.5592,259500,"2016-04-07","April",2016
"APR17JI",323400,NA,168000,"2017-04-03","April",2017
"AUG13JI",85500,235819.7801,1377000,"2013-08-12","August",2013
"AUG14JI",278400,317641.086,1692000,"2014-08-11","August",2014
"AUG15JI",96300,333640.6341,1740000,"2015-08-05","August",2015
"AUG16JI",62700,202050.0477,1752000,"2016-08-03","August",2016
"AUG17JI",117900,NA,2157000,"2017-08-22","August",2017
"DEC13JI",232800,439533.1045,1379400,"2013-12-09","December",2013
"DEC14JI",476700,448212.6861,1740000,"2014-12-03","December",2014
"DEC15JI",298800,470838.7883,1014000,"2015-12-03","December",2015
"DEC16JI",849000,500849.2782,2019000,"2016-12-07","December",2016
"DEC17JI",396900,NA,1617000,"2017-12-01","December",2017
"FEB13JI",355500,396065.475,1217100,"2013-02-06","February",2013
"FEB14JI",294300,247262.7966,712200,"2014-02-10","February",2014
"FEB15JI",777000,804130.9264,1530000,"2015-02-12","February",2015
"FEB16JI",1197000,421656.4746,1098000,"2016-02-08","February",2016
"FEB17JI",1395000,NA,999000,"2017-02-06","February",2017
"FEB18JI",255900,NA,222000,"2018-02-01","February",2018
"JAN13JI",510300,1097253.581,389100,"2013-01-05","January",2013
"JAN14JI",591000,501455.0834,1245000,"2014-01-13","January",2014
"JAN15JI",729000,776647.234,1383600,"2015-01-14","January",2015
"JAN16JI",1458000,401899.2241,1176000,"2016-01-06","January",2016
"JAN17JI",633000,NA,789000,"2017-01-05","January",2017
"JAN18JI",90000,NA,177300,"2018-01-09","January",2018
"JUL13JI",571500,262017.8939,709500,"2013-07-08","July",2013
"JUL14JI",867000,402178.8806,1785000,"2014-07-07","July",2014
"JUL15JI",342000,222040.7872,1506000,"2015-07-14","July",2015
"JUL16JI",516300,469189.3979,2232000,"2016-07-18","July",2016
"JUL17JI",381900,NA,1239000,"2017-07-12","July",2017
"JUN13JI",247200,319139.121,889200,"2013-06-10","June",2013
"JUN14JI",291600,349669.5273,1425600,"2014-06-09","June",2014
"JUN15JI",493500,466764.4428,1257000,"2015-06-10","June",2015
"JUN16JI",470100,489373.1142,1242000,"2016-06-08","June",2016
"JUN17JI",345600,NA,876000,"2017-06-07","June",2017
"MAR13JI",657000,392234.84,1029900,"2013-03-04","March",2013
"MAR14JI",259800,609554.0048,581400,"2014-03-10","March",2014
"MAR16JI",684000,648221.8728,912000,"2016-03-02","March",2016
"MAR17JI",2874000,NA,1137000,"2017-03-01","March",2017
"MAY13JI",612900,264597.1418,1028100,"2013-05-13","May",2013
"MAY14JI",199200,227634.4384,599700,"2014-05-12","May",2014
"MAY15JI",566700,515399.9305,910500,"2015-05-13","May",2015
"MAY16JI",1242000,310994.1684,834000,"2016-05-02","May",2016
"MAY17JI",328500,NA,371100,"2017-05-01","May",2017
"NOV13JI",151500,361614.1223,1566900,"2013-11-18","November",2013
"NOV15JI",105600,392221.0451,1677000,"2015-11-04","November",2015
"NOV16JI",402300,469542.1768,5322000,"2016-11-03","November",2016
"NOV17JI",345000,NA,3117000,"2017-11-02","November",2017
"OCT13JI",264900,638954.1161,4695000,"2013-10-14","October",2013
"OCT14JI",210900,533096.0878,3822000,"2014-10-08","October",2014
"OCT15JI",229800,669111.2646,2541000,"2015-10-07","October",2015
"OCT16JI",390900,244053.9044,4674000,"2016-10-05","October",2016
"OCT17JI",138600,NA,3543000,"2017-10-04","October",2017
"SEP13JI",151800,311811.1212,1827000,"2013-09-09","September",2013
"SEP14JI",99900,246601.7914,3294000,"2014-09-08","September",2014
"SEP15JI",92400,282960.8806,1770000,"2015-09-03","September",2015
"SEP16JI",85200,186018.0631,2475000,"2016-09-21","September",2016
"SEP17JI",71400,NA,1923000,"2017-09-26","September",2017
