ASV,SeqID
ASV2,GF02R4M01DCSEI_cs_nbp_rc
ASV5,GDGDDZP02GJ71C_cs_nbp_rc
ASV8,GJKK7LC02HVVW6_cs_nbp_rc
ASV12,GESGHXH02HTMQL_cs_nbp_rc
ASV16,GEUHUCK02JK5XI_cs_nbp_rc
ASV19,GEUHUCK01BUDSP_cs_nbp_rc
ASV20,F5K51YR02C1FEZ_cs_nbp_rc
ASV23,GFBN6OR01CW39W_cs_nbp_rc
ASV25,GCKVOD102F197X_cs_nbp_rc
ASV27,F5K51YR02C64L3_cs_nbp_rc
ASV31,F48MJBB02F2UPD_cs_nbp_rc
ASV36,GFU6RAN02IX4IZ_cs_nbp_rc
ASV38,GF0N05X02C9K85_cs_nbp_rc
ASV43,GCKVOD102IA9F5_cs_nbp_rc
ASV44,GCKVOD102GVTM9_cs_nbp_rc
ASV47,GCE7VNM02H71LK_cs_nbp_rc
ASV48,GAIR80C01A6AI7_cs_nbp_rc
ASV49,GEUHMPI02GDFG4_cs_nbp_rc
ASV54,GESGHXH02FORVN_cs_nbp_rc
ASV57,F48MJBB01DVENA_cs_nbp_rc
ASV58,GFAVKPA02DKJVI_cs_nbp_rc
ASV59,F48MJBB01A6GJN_cs_nbp_rc
ASV61,GER5HLA02JIVLL_cs_nbp_rc
ASV63,F48MJBB01B7V2Q_cs_nbp_rc
ASV65,F48MJBB01ARXQ2_cs_nbp_rc
ASV67,F5MMO9001DQPS0_cs_nbp_rc
ASV74,F48MJBB01DTH9H_cs_nbp_rc
ASV75,F5MMO9001DFAOF_cs_nbp_rc
ASV76,GER5HLA01CBC4A_cs_nbp_rc
ASV77,F48MJBB02FF0WE_cs_nbp_rc
ASV79,F48MJBB02F7ACS_cs_nbp_rc
ASV81,GE838LV02IXAJA_cs_nbp_rc
ASV85,GFKBOSR02JKPYH_cs_nbp_rc
ASV86,GCKVOD102GFTIQ_cs_nbp_rc
ASV95,F48MJBB01B8KFU_cs_nbp_rc
ASV96,F48MJBB02GX5T2_cs_nbp_rc
ASV97,GER5HLA02H2JZM_cs_nbp_rc
ASV99,F48MJBB01ATKAS_cs_nbp_rc
ASV100,F48MJBB02JI74A_cs_nbp_rc
ASV104,GER5HLA01BWBXM_cs_nbp_rc
ASV107,F47543201A1DD4_cs_nbp_rc
ASV108,F5MMO9001BW7FG_cs_nbp_rc
ASV113,GCE7VNM02J2EGF_cs_nbp_rc
ASV119,F48MJBB02FT66Q_cs_nbp_rc
ASV120,GEUHUCK01B291X_cs_nbp_rc
ASV122,F5K51YR02EBIAY_cs_nbp_rc
ASV123,GFAVKPA02EYTBW_cs_nbp_rc
ASV125,F48MJBB02FQHD3_cs_nbp_rc
ASV127,GDGDDZP02HUJO9_cs_nbp_rc
