Sample_name,Body_site,Biome
smpl700013596,Stool,Stool
smpl700014956,Stool,Stool
smpl700014968,Saliva,Oral
smpl700014973,Tongue dorsum,Oral
smpl700014976,Hard palate,Oral
smpl700014979,Buccal mucosa,Oral
smpl700014982,Attached/Keratinized gingiva,Oral
smpl700014985,Palatine Tonsils,Oral
smpl700014988,Throat,Oral
smpl700014991,Supragingival plaque,Oral
smpl700014994,Subgingival plaque,Oral
smpl700014997,L_Retroauricular crease,Skin
smpl700015000,R_Retroauricular crease,Skin
smpl700015003,L_Antecubital fossa,Skin
smpl700015006,R_Antecubital fossa,Skin
smpl700015009,Anterior nares,Skin
smpl700016012,Stool,Stool
smpl700016029,Stool,Stool
smpl700016059,Saliva,Oral
smpl700016063,Tongue dorsum,Oral
smpl700016065,Hard palate,Oral
smpl700016067,Buccal mucosa,Oral
smpl700016069,Attached/Keratinized gingiva,Oral
smpl700016071,Palatine Tonsils,Oral
smpl700016073,Throat,Oral
smpl700016075,Supragingival plaque,Oral
smpl700016077,Subgingival plaque,Oral
smpl700016079,L_Retroauricular crease,Skin
smpl700016081,R_Retroauricular crease,Skin
smpl700016083,L_Antecubital fossa,Skin
smpl700016085,R_Antecubital fossa,Skin
smpl700016087,Anterior nares,Skin
smpl700016214,Stool,Stool
smpl700016235,Anterior nares,Skin
smpl700016315,Saliva,Oral
smpl700016319,Tongue dorsum,Oral
smpl700016321,Hard palate,Oral
smpl700016323,Buccal mucosa,Oral
smpl700016325,Attached/Keratinized gingiva,Oral
smpl700016327,Palatine Tonsils,Oral
smpl700016329,Throat,Oral
smpl700016331,Supragingival plaque,Oral
smpl700016333,Subgingival plaque,Oral
smpl700016335,L_Retroauricular crease,Skin
smpl700016337,R_Retroauricular crease,Skin
smpl700016339,L_Antecubital fossa,Skin
smpl700016343,Anterior nares,Skin
smpl700016387,Saliva,Oral
smpl700016391,Tongue dorsum,Oral
smpl700016393,Hard palate,Oral
smpl700016395,Buccal mucosa,Oral
smpl700016397,Attached/Keratinized gingiva,Oral
smpl700016399,Palatine Tonsils,Oral
smpl700016401,Throat,Oral
smpl700016403,Supragingival plaque,Oral
smpl700016405,Subgingival plaque,Oral
smpl700016502,Vaginal introitus,Vaginal
smpl700016504,Mid vagina,Vaginal
smpl700016506,Posterior fornix,Vaginal
smpl700016716,Stool,Stool
smpl700016724,Saliva,Oral
smpl700016728,Tongue dorsum,Oral
smpl700016730,Hard palate,Oral
smpl700016732,Buccal mucosa,Oral
smpl700016734,Attached/Keratinized gingiva,Oral
smpl700016736,Palatine Tonsils,Oral
smpl700016738,Throat,Oral
smpl700016740,Supragingival plaque,Oral
smpl700016742,Subgingival plaque,Oral
smpl700016744,L_Retroauricular crease,Skin
smpl700016746,R_Retroauricular crease,Skin
smpl700016748,L_Antecubital fossa,Skin
smpl700016750,R_Antecubital fossa,Skin
smpl700016752,Anterior nares,Skin
smpl700016921,Stool,Stool
smpl700016929,Saliva,Oral
smpl700016933,Tongue dorsum,Oral
smpl700016935,Hard palate,Oral
smpl700016937,Buccal mucosa,Oral
smpl700016939,Attached/Keratinized gingiva,Oral
smpl700016941,Palatine Tonsils,Oral
smpl700016944,Throat,Oral
smpl700016946,Supragingival plaque,Oral
smpl700016948,Subgingival plaque,Oral
smpl700016958,Anterior nares,Skin
smpl700021697,Tongue dorsum,Oral
smpl700021699,Hard palate,Oral
smpl700023001,Buccal mucosa,Oral
smpl700023003,Attached/Keratinized gingiva,Oral
smpl700023005,Palatine Tonsils,Oral
smpl700023007,Throat,Oral
smpl700023009,L_Retroauricular crease,Skin
smpl700023011,R_Retroauricular crease,Skin
smpl700023015,R_Antecubital fossa,Skin
smpl700023019,Supragingival plaque,Oral
smpl700023021,Subgingival plaque,Oral
smpl700023023,Stool,Stool
smpl700023076,Supragingival plaque,Oral
smpl700023078,Subgingival plaque,Oral
smpl700023080,Tongue dorsum,Oral
smpl700023082,Hard palate,Oral
smpl700023084,Buccal mucosa,Oral
smpl700023086,Attached/Keratinized gingiva,Oral
smpl700023088,Palatine Tonsils,Oral
smpl700023090,Throat,Oral
smpl700023096,Stool,Stool
smpl700023098,Vaginal introitus,Vaginal
smpl700023100,Mid vagina,Vaginal
smpl700023102,Posterior fornix,Vaginal
smpl700023104,L_Retroauricular crease,Skin
smpl700023106,R_Retroauricular crease,Skin
smpl700023110,R_Antecubital fossa,Skin
smpl700023112,Anterior nares,Skin
smpl700023190,L_Retroauricular crease,Skin
smpl700023192,R_Retroauricular crease,Skin
smpl700023194,L_Antecubital fossa,Skin
smpl700023196,R_Antecubital fossa,Skin
smpl700023198,Anterior nares,Skin
smpl700023200,Vaginal introitus,Vaginal
smpl700023202,Mid vagina,Vaginal
smpl700023204,Posterior fornix,Vaginal
smpl700023206,Supragingival plaque,Oral
smpl700023208,Subgingival plaque,Oral
smpl700023210,Saliva,Oral
smpl700023214,Tongue dorsum,Oral
smpl700023216,Hard palate,Oral
smpl700023218,Buccal mucosa,Oral
smpl700023220,Attached/Keratinized gingiva,Oral
smpl700023222,Palatine Tonsils,Oral
smpl700023224,Throat,Oral
