ASV,Group,A,B,stat,p.value,Order,Family,Genus,Source,Window
ASV124,April+February+March,0.6599,1,0.812,0.001,Campylobacterales,Arcobacteraceae,Arcobacter,Sewer,2
ASV42,April+February+March,0.4006,1,0.633,0.001,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Sewer,2
ASV41,April+June+May,0.3935,1,0.627,0.012,Betaproteobacteriales,Burkholderiaceae,Simplicispira,Sewer,4
ASV612,April+March+May,0.9158,0.7857,0.848,0.001,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Sewer,3
ASV103,April+March+May,0.6579,1,0.811,0.001,Betaproteobacteriales,Burkholderiaceae,Polaromonas,Sewer,3
ASV214,April+March+May,0.6284,1,0.793,0.001,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Sewer,3
ASV69,April+March+May,0.5705,1,0.755,0.001,Betaproteobacteriales,Burkholderiaceae,Rhodoferax,Sewer,3
ASV13,April+March+May,0.5189,1,0.72,0.001,Campylobacterales,Arcobacteraceae,Arcobacter,Sewer,3
ASV94,April+March+May,0.3841,1,0.62,0.022,Pseudomonadales,Moraxellaceae,Acinetobacter,Sewer,3
ASV4,August+October+September,0.4648,1,0.682,0.001,Campylobacterales,Arcobacteraceae,Arcobacter,Sewer,8
ASV48,August+October+September,0.4113,1,0.641,0.001,Enterobacteriales,Enterobacteriaceae,Enterobacter,Sewer,8
ASV88,December+November+October,0.5216,1,0.722,0.009,Betaproteobacteriales,Burkholderiaceae,Sphaerotilus,Sewer,10
ASV14,November+October+September,0.5091,1,0.714,0.002,Bacteroidales,Tannerellaceae,Macellibacteroides,Sewer,9
ASV8,November+October+September,0.4451,1,0.667,0.001,Flavobacteriales,Weeksellaceae,Cloacibacterium,Sewer,9
ASV245,April+March+May,0.6297,1,0.794,0.001,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Human,3
ASV75,April+March+May,0.5809,1,0.762,0.031,Betaproteobacteriales,Burkholderiaceae,Janthinobacterium,Human,3
ASV16,August+July+September,0.3473,1,0.589,0.002,Pseudomonadales,Moraxellaceae,Acinetobacter,Human,7
ASV674,August+October+September,0.7824,0.6667,0.722,0.003,Pseudomonadales,Moraxellaceae,Acinetobacter,Human,8
ASV81,August+October+September,0.5116,1,0.715,0.001,Enterobacteriales,Enterobacteriaceae,Klebsiella,Human,8
ASV701,August+October+September,0.7126,0.6667,0.689,0.005,Enterobacteriales,Enterobacteriaceae,Klebsiella,Human,8
ASV122,August+October+September,0.4552,1,0.675,0.001,Enterobacteriales,Enterobacteriaceae,Escherichia.Shigella,Human,8
