Sample_name,HF183_permL,cloaci08_permL,flavo42_permL
EG0001_15,86134,11400,9150
EG0001_16,383660,14100,11604
EG0002_15,47995,18750,26670
EG0002_16,131659,6792,3336
EG0003_15,199100,10764,10188
EG0003_16,46250,4692,3336
MINORTH1_15,253799,107700,279300
MINORTH1_16,216662,84840,
MINORTH2_15,1949652,68880,111000
MINORTH2_16,615935,288360,919200
MINORTH3_15,7797175,595500,
MINORTH3_16,560907,1896000,1906800
MISOUTH1_15,360744,441600,1257900
MISOUTH1_17,453514,123120,129000
MISOUTH2_15,126341,306600,903600
MISOUTH2_17,141163,188160,355920
MISOUTH3_15,134009,43080,47520
MISOUTH3_17,205023,36960,72840
NB0001_15,255276,67440,307200
NB0001_16,1035750,,250320
NB0002_15,13374477,,
NB0002_16,1319964,58800,
NB0003_15,989870,226440,451200
NB0003_16,7732845,,
