Sample_name,flavo42_permL,HF183_permL,cloaci08_permL,Collection_date,Month,Year
APR13JI,864000,320571.5536,406800,4/9/13,April,2013
APR14JI,379500,257122.7419,329400,4/14/14,April,2014
APR15JI,1236000,615047.776,1383600,4/1/15,April,2015
APR16JI,645000,630227.5592,259500,4/7/16,April,2016
APR17JI,323400,,168000,4/3/17,April,2017
AUG13JI,85500,235819.7801,1377000,8/12/13,August,2013
AUG14JI,278400,317641.086,1692000,8/11/14,August,2014
AUG15JI,96300,333640.6341,1740000,8/5/15,August,2015
AUG16JI,62700,202050.0477,1752000,8/3/16,August,2016
AUG17JI,117900,,2157000,8/22/17,August,2017
DEC13JI,232800,439533.1045,1379400,12/9/13,December,2013
DEC14JI,476700,448212.6861,1740000,12/3/14,December,2014
DEC15JI,298800,470838.7883,1014000,12/3/15,December,2015
DEC16JI,849000,500849.2782,2019000,12/7/16,December,2016
DEC17JI,396900,,1617000,12/1/17,December,2017
FEB13JI,355500,396065.475,1217100,2/6/13,February,2013
FEB14JI,294300,247262.7966,712200,2/10/14,February,2014
FEB15JI,777000,804130.9264,1530000,2/12/15,February,2015
FEB16JI,1197000,421656.4746,1098000,2/8/16,February,2016
FEB17JI,1395000,,999000,2/6/17,February,2017
FEB18JI,255900,,222000,2/1/18,February,2018
JAN13JI,510300,1097253.581,389100,1/5/13,January,2013
JAN14JI,591000,501455.0834,1245000,1/13/14,January,2014
JAN15JI,729000,776647.234,1383600,1/14/15,January,2015
JAN16JI,1458000,401899.2241,1176000,1/6/16,January,2016
JAN17JI,633000,,789000,1/5/17,January,2017
JAN18JI,90000,,177300,1/9/18,January,2018
JUL13JI,571500,262017.8939,709500,7/8/13,July,2013
JUL14JI,867000,402178.8806,1785000,7/7/14,July,2014
JUL15JI,342000,222040.7872,1506000,7/14/15,July,2015
JUL16JI,516300,469189.3979,2232000,7/18/16,July,2016
JUL17JI,381900,,1239000,7/12/17,July,2017
JUN13JI,247200,319139.121,889200,6/10/13,June,2013
JUN14JI,291600,349669.5273,1425600,6/9/14,June,2014
JUN15JI,493500,466764.4428,1257000,6/10/15,June,2015
JUN16JI,470100,489373.1142,1242000,6/8/16,June,2016
JUN17JI,345600,,876000,6/7/17,June,2017
MAR13JI,657000,392234.84,1029900,3/4/13,March,2013
MAR14JI,259800,609554.0048,581400,3/10/14,March,2014
MAR16JI,684000,648221.8728,912000,3/2/16,March,2016
MAR17JI,2874000,,1137000,3/1/17,March,2017
MAY13JI,612900,264597.1418,1028100,5/13/13,May,2013
MAY14JI,199200,227634.4384,599700,5/12/14,May,2014
MAY15JI,566700,515399.9305,910500,5/13/15,May,2015
MAY16JI,1242000,310994.1684,834000,5/2/16,May,2016
MAY17JI,328500,,371100,5/1/17,May,2017
NOV13JI,151500,361614.1223,1566900,11/18/13,November,2013
NOV15JI,105600,392221.0451,1677000,11/4/15,November,2015
NOV16JI,402300,469542.1768,5322000,11/3/16,November,2016
NOV17JI,345000,,3117000,11/2/17,November,2017
OCT13JI,264900,638954.1161,4695000,10/14/13,October,2013
OCT14JI,210900,533096.0878,3822000,10/8/14,October,2014
OCT15JI,229800,669111.2646,2541000,10/7/15,October,2015
OCT16JI,390900,244053.9044,4674000,10/5/16,October,2016
OCT17JI,138600,,3543000,10/4/17,October,2017
SEP13JI,151800,311811.1212,1827000,9/9/13,September,2013
SEP14JI,99900,246601.7914,3294000,9/8/14,September,2014
SEP15JI,92400,282960.8806,1770000,9/3/15,September,2015
SEP16JI,85200,186018.0631,2475000,9/21/16,September,2016
SEP17JI,71400,,1923000,9/26/17,September,2017
