"Sample_name","Treatment_plant","Month","Year","Air_temp_F","Sewer_temp_F","Precip_48hrs_in","Month_point","Flow_MGD","Collection_date","Ammonia_mgL","BOD5_mgL","BOD5Total_Soluble_mg_L","Cadmium_mgL","Calcium_mgL","Chromium_mgL","COD_mgL","Copper_mgL","Iron_mgL","Lead_mgL","LowLevel_Mercury_ngL","Magnesium_mgL","Nickel_mgL","NitrateNitrite_mgL","Phosphorus_mgL","TSS_mgL","TKN_Nitrogen_mgL","Zinc_mgL"
"APR13JI","Jones_Island","April",2013,37,NA,0.79,4,187,2013-04-09,8.8,NA,NA,NA,78,0.24,NA,0.076,3.6,0.026,NA,NA,0.011,NA,4.2,560,NA,0.26
"APR14JI","Jones_Island","April",2014,40,NA,1.73,16,241,2014-04-14,4.2,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,220,NA,NA
"APR15JI","Jones_Island","April",2015,48,NA,0.01,28,74,2015-04-01,16,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,280,NA,NA
"APR15SS","South_Shore","April",2015,48,NA,0.01,7,74,2015-04-01,28,230,NA,NA,NA,NA,670,NA,NA,NA,NA,NA,NA,NA,7.3,340,41,NA
"APR16JI","Jones_Island","April",2016,37,49.9,0.41,40,150,2016-04-07,6.6,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,290,NA,NA
"APR16SS","South_Shore","April",2016,37,NA,0.41,19,190,2016-04-07,8.8,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,230,NA,NA
"APR17JI","Jones_Island","April",2017,46,50.1,0.15,52,95,2017-04-03,7.8,190,NA,NA,NA,NA,260,NA,NA,NA,NA,NA,NA,NA,2.1,NA,NA,NA
"APR17SS","South_Shore","April",2017,46,NA,0.15,31,154,2017-04-03,8.1,120,NA,NA,NA,NA,270,NA,NA,NA,NA,NA,NA,NA,3.7,170,18,NA
"AUG13JI","Jones_Island","August",2013,70,NA,0.3,8,80,2013-08-12,13,380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,440,NA,NA
"AUG14JI","Jones_Island","August",2014,71,NA,0.44,20,104,2014-08-11,13,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,550,NA,NA
"AUG15JI","Jones_Island","August",2015,68,NA,0,32,71,2015-08-05,16,350,NA,NA,NA,NA,NA,NA,NA,NA,79,NA,NA,NA,3.6,240,NA,NA
"AUG15SS","South_Shore","August",2015,68,NA,0,11,61,2015-08-05,28,420,NA,NA,NA,NA,870,NA,NA,NA,130,NA,NA,NA,8.5,250,41,NA
"AUG16JI","Jones_Island","August",2016,80,63.7,0,44,62,2016-08-03,17,440,NA,NA,NA,NA,640,NA,NA,NA,140,NA,NA,NA,4.2,280,NA,NA
"AUG16SS","South_Shore","August",2016,80,NA,0,23,63,2016-08-03,24,470,NA,NA,NA,NA,590,NA,NA,NA,160,NA,NA,NA,6.3,580,34,NA
"AUG17JI","Jones_Island","August",2017,73,63.9,0,56,76,2017-08-22,16,NA,NA,NA,74,0.081,NA,0.071,2.8,0.063,NA,33,NA,NA,3.8,280,NA,0.2
"AUG17SS","South_Shore","August",2017,74,NA,NA,35,78,2017-08-09,21,430,NA,NA,NA,NA,860,NA,NA,NA,87,NA,NA,NA,9.1,290,43,NA
"DEC13JI","Jones_Island","December",2013,13,NA,0.09,12,82,2013-12-09,14,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,200,NA,NA
"DEC14JI","Jones_Island","December",2014,29,NA,0.01,24,64,2014-12-03,17,390,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,4.2,250,NA,NA
"DEC14SS","South_Shore","December",2014,29,NA,0.01,3,73,2014-12-03,19,280,NA,NA,NA,NA,630,NA,NA,NA,100,NA,NA,NA,6.6,320,35,NA
"DEC15JI","Jones_Island","December",2015,35,NA,0.06,36,121,2015-12-03,8.7,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,220,NA,NA
"DEC15SS","South_Shore","December",2015,35,NA,0.06,15,150,2015-12-03,7.8,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,NA,NA,NA
"DEC16JI","Jones_Island","December",2016,26,60.1,0,48,79,2016-12-07,15,460,NA,NA,NA,NA,560,NA,NA,NA,100,NA,NA,0.15,3.9,570,24,NA
"DEC16SS","South_Shore","December",2016,26,NA,0,27,91,2016-12-07,21,280,NA,NA,NA,NA,610,NA,NA,NA,53,NA,NA,0.075,6.5,300,31,NA
"DEC17JI","Jones_Island","December",2017,40,60.5,0,60,72,2017-12-01,17,140,NA,NA,NA,NA,490,NA,NA,NA,NA,NA,NA,0.11,3.5,210,30,NA
"DEC17SS","South_Shore","December",2017,40,NA,NA,39,NA,2017-12-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FEB13JI","Jones_Island","February",2013,20,NA,0.02,2,73,2013-02-06,20,320,NA,NA,NA,NA,NA,NA,NA,NA,150,NA,NA,NA,6,260,NA,NA
"FEB14JI","Jones_Island","February",2014,35,NA,0.02,14,99,2014-02-10,13,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,140,NA,NA
"FEB15JI","Jones_Island","February",2015,12,NA,0,26,61,2015-02-12,18,330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,240,NA,NA
"FEB15SS","South_Shore","February",2015,12,NA,0,5,59,2015-02-12,25,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,420,NA,NA
"FEB16JI","Jones_Island","February",2016,27,51.2,0.03,38,94,2016-02-08,11,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA,NA,NA
"FEB16SS","South_Shore","February",2016,27,NA,0.03,17,100,2016-02-08,13,160,NA,NA,NA,NA,380,NA,NA,NA,NA,NA,NA,NA,4.8,210,22,NA
"FEB17JI","Jones_Island","February",2017,31,53.4,0,50,88,2017-02-06,14,230,NA,NA,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,2.8,NA,NA,NA
"FEB17SS","South_Shore","February",2017,31,NA,0,29,79,2017-02-06,19,210,NA,NA,NA,NA,390,NA,NA,NA,NA,NA,NA,NA,4.6,230,28,NA
"FEB18JI","Jones_Island","February",2018,21,52.8,NA,62,NA,2018-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JAN13JI","Jones_Island","January",2013,27,NA,0,1,80,2013-01-05,19,470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,180,NA,NA
"JAN14JI","Jones_Island","January",2014,21,NA,0.01,13,82,2014-01-13,12,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,180,NA,NA
"JAN15JI","Jones_Island","January",2015,12,NA,0,25,61,2015-01-14,19,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,250,NA,NA
"JAN15SS","South_Shore","January",2015,12,NA,0,4,62,2015-01-14,26,340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,300,37,NA
"JAN16JI","Jones_Island","January",2016,29,55.3,0,37,83,2016-01-06,14,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,190,NA,NA
"JAN16SS","South_Shore","January",2016,29,NA,0,16,96,2016-01-06,16,180,NA,NA,NA,NA,500,NA,NA,NA,NA,NA,NA,NA,5.3,400,24,NA
"JAN17JI","Jones_Island","January",2017,6,56.3,0,49,83,2017-01-05,12,310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,340,NA,NA
"JAN17SS","South_Shore","January",2017,6,NA,0,28,91,2017-01-05,18,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9,290,NA,NA
"JAN18JI","Jones_Island","January",2018,33,55,0,61,60,2018-01-09,19,320,NA,NA,60,0.098,NA,0.054,NA,NA,NA,23,NA,NA,4.1,340,NA,0.26
"JUL13JI","Jones_Island","July",2013,79,NA,0.02,7,90,2013-07-08,13,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,170,NA,NA
"JUL14JI","Jones_Island","July",2014,80,NA,0.19,19,101,2014-07-07,10,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,200,NA,NA
"JUL15JI","Jones_Island","July",2015,69,NA,0.68,31,141,2015-07-14,9.3,350,NA,NA,54,0.057,NA,0.09,7.4,0.042,NA,21,0.015,NA,3.3,300,NA,0.19
"JUL15SS","South_Shore","July",2015,69,NA,0.68,10,81,2015-07-14,19,160,NA,NA,69,0.015,NA,0.062,1.7,0.03,NA,30,NA,NA,3.9,190,NA,0.13
"JUL16JI","Jones_Island","July",2016,78,61.9,0.19,43,98,2016-07-18,11,340,NA,NA,NA,NA,350,NA,NA,NA,NA,NA,NA,NA,2.9,450,NA,NA
"JUL16SS","South_Shore","July",2016,78,NA,0.19,22,61,2016-07-18,22,520,NA,NA,NA,NA,900,NA,NA,NA,NA,NA,NA,NA,9.1,440,38,NA
"JUL17JI","Jones_Island","July",2017,78,61.9,2.13,55,102,2017-07-12,12,270,NA,NA,NA,NA,510,NA,NA,NA,130,NA,NA,NA,3.3,230,NA,NA
"JUL17SS","South_Shore","July",2017,78,NA,NA,34,85,2017-07-12,19,400,NA,NA,NA,NA,750,NA,NA,NA,60,NA,NA,NA,NA,280,34,NA
"JUN13JI","Jones_Island","June",2013,64,NA,0,6,72,2013-06-10,14,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,180,NA,NA
"JUN14JI","Jones_Island","June",2014,58,NA,0,18,76,2014-06-09,12,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,210,NA,NA
"JUN15JI","Jones_Island","June",2015,72,NA,0.09,30,78,2015-06-10,14,330,NA,NA,NA,NA,580,NA,NA,NA,NA,NA,NA,0.2,3.8,400,25,NA
"JUN15SS","South_Shore","June",2015,72,NA,0.09,9,83,2015-06-10,20,220,NA,NA,NA,NA,610,NA,NA,NA,NA,NA,NA,0.058,6,320,30,NA
